CellReference,OS_ID,Prolific_ID,Age,GenderWORD,GenderNUM,Occupation,HighestEducationLevelTEXT,OtherIfApplicable,HighestEducationLevelTEXT2,HighestEducationLevelNUM,CompExpertiseText,CompExpertiseNUM,GEN_ATTITUDE_REVERSED,NR1,NR2,NR3,NR4,NR5,NR6,NR7,NR8,NR9,NR10,NR11,NR12,NR13,NR14,NR15,NR16,PR1,PR2,PR3,PR4,PR5,PR6,PR7,PR8,PR9,PR10,PR11,PR12,PR13,PR14,PR15,PR16,GENERALATTUNREVERSED,N9,N13,P13,N14,N15,P14,N16,P15,P16,P9,P10,N10,N11,P11,N12,P12,N1,P5,N5,P6,N6,P7,N7,N8,P8,P1,N2,P2,N3,P3,N4,P4,COMFORTABLENESS,Scom1,Scom2,Scom3,Scom4,Scom5,Scom6,Scom7,Scom8,Scom9,Scom10,Scom11,Scom12,Scom13,Scom14,Scom15,Scom16,Scom17,Scom18,Scom19,Scom20,Scom21,Scom22,Scom23,Scom24,Scom25,Scom26,Scom27,Scom28,Scom29,Scom30,Scom31,Scom32,Scom33,Scom34,Scom35,Scom36,Scom37,Scom38,Scom39,Scom40,Scom41,Scom42,CAPABILITY,Scap1,Scap2,Scap3,Scap4,Scap5,Scap6,Scap7,Scap8,Scap9,Scap10,Scap11,Scap12,Scap13,Scap14,Scap15,Scap16,Scap17,Scap18,Scap19,Scap20,Scap21,Scap22,Scap23,Scap24,Scap25,Scap26,Scap27,Scap28,Scap29,Scap30,Scap31,Scap32,Scap33,Scap34,Scap35,Scap36,Scap37,Scap38,Scap39,Scap40,Scap41,Scap42,TECHREADYUNREVERSED,TR1,TR2,TR3,TR4,TR5,TR6,TR7,TR8,TR9,TR10,TR11,TR12,TR13,TR14,TR15,TR16,TR17,TR18,TECHREADYREVERSED,TR1Innov,TR2Innov,TR3Innov,TR4Innov,TR5Opt,TR6Opt,TR7Opt,TR8Opt,TR9Discomf,TR10Discomf,TR11Discomf,TR12Discomf,TR13Insec,TR14Insec,TR15Insec,TR16Insec,TR17Insec,TR18Insec,END_TRI_REV,OpenComments,StartDate,CompletionDate,OVERALLS_Hereafter,PosGENATT,NegGENATT,ComfAIbigDataAutomation,ComfAIHumanJudg,CapAIforBigData,CapAIHumanJudg,TRI_INNOV,TRI_OPT,TRI_DISCOMF,TRI_INSEC
11,475005-474996-46947565,removed_to_protect_anonymity,30,Male,0,Writer,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4,Considerable IT expertise short of full professional qualifications,5, ,2,2,2,3,4,3,2,2,5,4,3,2,5,2,1,3,4,4,4,4,5,4,4,4,2,4,4,2,4,2,4,4, ,1,1,4,4,5,2,3,4,4,2,4,2,3,4,4,2,4,5,2,4,3,4,4,4,4,4,4,4,4,4,3,4, ,5,1,5,4,1,5,4,4,4,5,5,5,5,3,1,5,4,1,5,5,5,5,5,2,5,5,5,5,1,1,5,5,5,1,4,5,5,4,5,5,5,5, ,5,1,5,4,1,5,5,5,5,5,5,5,1,2,4,5,3,1,5,5,5,5,5,5,5,5,5,5,3,1,5,5,5,1,5,5,5,4,5,5,5,5, ,1,5,4,5,5,5,5,5,1,3,1,1,1,1,2,1,1,5, ,1,5,4,5,5,5,5,5,5,3,5,5,5,5,4,5,5,1, , ,2019-05-09 09:50:26 UTC,2019-05-09 10:00:36 UTC, ,3.916666667,3,4.46153846153846,4.4,5,4.15384615384615,3.75,5,4.5,4.166666667
12,475005-474996-46947275,removed_to_protect_anonymity,26,Female,1,NA,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4,User of specialist applications but not an IT specialist,4, ,2,3,4,3,3,2,1,1,2,1,1,2,2,2,1,3,4,3,2,4,2,3,3,4,4,5,3,3,3,3,3,2, ,4,4,3,4,5,3,3,3,2,4,5,5,5,3,4,3,4,2,3,3,4,3,5,5,4,4,3,3,2,2,3,4, ,2,1,3,2,2,1,1,1,1,3,2,4,3,3,1,2,1,1,1,1,5,1,3,1,3,3,1,1,4,4,4,3,1,3,1,2,1,1,3,2,1,1, ,1,1,3,1,1,1,2,1,1,2,2,4,2,1,1,2,1,1,2,1,5,2,3,4,3,3,2,1,2,3,3,3,2,2,1,2,2,1,3,3,1,2, ,2,5,4,4,3,3,2,3,4,4,3,2,5,5,5,5,5,5, ,2,5,4,4,3,3,2,3,2,2,3,4,1,1,1,1,1,1, , ,2019-05-09 09:45:13 UTC,2019-05-09 10:00:46 UTC, ,3.333333333,2,2.69230769230769,1.3,2.25,1.38461538461538,3.75,2.75,2.75,1
13,475005-474996-46947608,removed_to_protect_anonymity,47,female,1,civil servant,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4,"Average computer user, using the internet, standard applications etc.",3, ,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,4,5,1,4,4,2,4,5,2,4,1,1,1,1,2, ,4,5,1,5,5,1,5,1,2,5,2,5,5,4,5,1,5,4,5,4,5,2,5,5,4,3,4,4,5,5,5,1, ,3,1,5,3,2,4,4,4,4,4,5,2,2,1,5,5,5,1,4,1,5,5,5,1,5,1,5,4,1,5,2,5,5,5,5,5,2,2,5,5,5,5, ,2,1,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,4,2,1,5,5,5,2,5,5,2,5,1,5,5,5,5,5,2,5,2,5,5,5,5, ,1,2,4,1,2,2,1,2,5,5,5,5,4,4,5,5,5,5, ,1,2,4,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1, ,"No comments, thanks.",2019-05-09 09:50:59 UTC,2019-05-09 10:00:52 UTC, ,3,1,3.84615384615385,3.7,5,3.76923076923077,2,1.75,1,1.333333333
14,475005-474996-46947539,removed_to_protect_anonymity,42,Male,0,Transport manager,A-level or equivalent,NA,A-level or equivalent,3,Considerable IT expertise short of full professional qualifications,5, ,3,2,3,3,3,3,4,4,3,2,3,3,4,2,3,2,3,5,4,5,2,4,5,3,4,3,4,3,4,4,3,4, ,3,2,4,4,3,4,4,3,4,4,3,4,3,4,3,3,3,2,3,4,3,5,2,2,3,3,4,5,3,4,3,5, ,3,1,4,1,3,1,1,2,4,3,2,3,3,2,1,2,3,4,2,2,5,3,2,4,5,5,4,2,2,3,4,5,4,3,1,5,2,1,5,4,2,3, ,2,1,5,3,2,1,2,2,4,3,3,2,4,4,2,2,2,4,3,2,5,3,4,3,5,4,3,2,3,3,3,4,4,3,2,4,2,1,5,4,2,4, ,5,5,5,5,4,5,5,5,4,2,2,4,2,2,3,3,3,4, ,5,5,5,5,4,5,5,5,2,4,4,2,4,4,3,3,3,2, ,Enjoyed this form of survey.,2019-05-09 09:49:58 UTC,2019-05-09 10:01:08 UTC, ,3.666666667,3,3.23076923076923,2.4,3.25,2.15384615384615,5,4.75,3,3.166666667
15,475005-474996-46947587,removed_to_protect_anonymity,28,Male,0,Self employed,A-level or equivalent,NA,A-level or equivalent,3,User of specialist applications but not an IT specialist,4, ,5,5,1,4,1,3,1,4,2,2,2,2,5,4,1,5,4,2,4,5,5,5,5,4,5,5,4,4,5,4,4,2, ,4,1,5,2,5,4,1,4,2,5,5,4,4,4,4,4,1,5,5,5,3,5,5,2,4,4,1,2,5,4,2,5, ,5,2,5,2,1,3,4,1,1,5,5,4,4,1,2,4,1,1,5,4,5,5,2,1,4,4,4,5,4,1,4,5,4,1,2,1,3,2,5,4,1,4, ,2,1,3,1,1,3,3,1,1,5,5,5,2,2,1,4,1,1,5,2,5,4,1,1,2,5,5,5,4,1,5,5,4,1,1,1,2,2,5,4,1,3, ,3,5,5,5,5,5,5,5,2,2,1,1,1,1,3,1,4,4, ,3,5,5,5,5,5,5,5,4,4,5,5,5,5,3,5,2,2, , ,2019-05-09 09:50:43 UTC,2019-05-09 10:01:17 UTC, ,4.583333333,3.25,4.07692307692308,2.9,4.375,2,4.5,5,4.5,3.666666667
16,475005-474996-46947293,removed_to_protect_anonymity,29,F,1,Office Manager,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4,Considerable IT expertise short of full professional qualifications,5, ,3,2,2,3,3,4,3,5,2,3,3,4,2,4,2,4,3,3,4,4,4,5,4,3,4,4,4,2,3,2,2,2, ,4,4,3,2,4,2,2,2,2,4,4,3,3,4,2,2,3,4,3,5,2,4,3,1,3,3,4,3,4,4,3,4, ,5,1,3,2,3,2,4,2,1,4,2,5,4,1,1,4,1,1,4,2,5,1,3,2,5,5,5,3,3,2,5,3,3,1,2,3,1,1,5,2,1,3, ,2,1,2,1,1,2,3,2,2,3,2,3,2,2,1,4,1,1,4,2,4,3,1,2,3,5,5,2,2,1,5,3,2,1,2,1,1,1,5,5,1,3, ,3,4,4,4,3,5,4,4,3,4,4,3,5,4,5,2,2,3, ,3,4,4,4,3,5,4,4,3,2,2,3,1,2,1,4,4,3, , ,2019-05-09 09:45:26 UTC,2019-05-09 10:01:26 UTC, ,3.666666667,3.25,3.46153846153846,2,3.625,1.61538461538462,3.75,4,2.5,2.5
17,475005-474996-46947197,removed_to_protect_anonymity,26,Male,0,Nurse,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4,User of specialist applications but not an IT specialist,4, ,3,4,4,5,3,3,4,4,5,2,3,2,3,5,4,4,4,2,4,4,4,5,4,5,5,5,5,2,3,4,5,4, ,1,3,3,1,2,4,2,5,4,5,5,4,3,5,4,2,3,4,3,5,3,4,2,2,5,4,2,2,2,4,1,4, ,5,2,4,4,2,4,5,4,4,3,5,5,5,5,3,4,3,2,4,3,5,5,4,1,5,4,4,5,5,4,5,5,5,2,4,3,4,2,5,5,2,5, ,3,2,4,3,2,5,5,3,4,3,5,5,5,5,4,5,3,3,4,3,5,5,3,3,3,5,5,4,5,3,5,5,5,2,4,3,5,2,5,4,2,5, ,4,5,4,5,5,4,5,5,3,2,2,2,3,3,3,2,4,2, ,4,5,4,5,5,4,5,5,3,4,4,4,3,3,3,4,2,4, , ,2019-05-09 09:43:53 UTC,2019-05-09 10:01:49 UTC, ,4.416666667,3.5,4.76923076923077,3.9,4.625,3.53846153846154,4.5,4.75,3.75,3.166666667
18,475005-474996-46947160,removed_to_protect_anonymity,24,Female,1,Unemployed,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4,User of specialist applications but not an IT specialist,4, ,4,3,4,4,2,3,3,2,2,1,3,2,4,4,2,4,3,2,2,4,4,4,2,4,4,5,4,2,4,2,2,4, ,4,2,4,2,4,2,2,2,4,4,5,5,3,4,4,2,2,4,4,4,3,2,3,4,4,3,3,2,2,2,2,4, ,4,2,5,2,1,2,2,1,1,4,5,5,1,5,1,5,1,1,2,1,5,2,4,2,4,4,4,4,5,1,4,4,2,1,2,2,1,2,5,5,1,2, ,3,1,4,2,1,2,4,2,4,5,5,5,1,5,1,5,1,2,4,1,5,1,1,5,4,5,5,4,4,1,5,4,4,1,2,4,2,2,5,5,1,4, ,1,5,2,5,4,5,4,4,2,4,2,4,5,2,4,2,5,5, ,1,5,2,5,4,5,4,4,4,2,4,2,1,4,2,4,1,1, ,Great survey to give insight into the capabilities of artificial intelligence,2019-05-09 09:43:20 UTC,2019-05-09 10:01:57 UTC, ,3.5,3.375,4.30769230769231,1.6,4.75,1.84615384615385,3.25,4.25,3,2.166666667
19,475005-474996-46947825,removed_to_protect_anonymity,28,Male,0,Security,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4,Considerable IT expertise short of full professional qualifications,5, ,5,2,4,4,5,3,2,3,2,4,3,4,4,4,4,5,4,4,3,2,2,4,3,2,4,5,3,4,4,3,4,4, ,4,2,4,2,2,3,1,4,4,4,5,2,3,3,2,4,1,2,1,4,3,3,4,3,2,4,4,4,2,3,2,2, ,4,2,5,4,5,5,4,3,4,3,3,4,4,4,2,4,3,1,2,1,5,1,4,4,4,3,4,4,5,4,4,5,4,1,4,3,4,2,3,3,3,4, ,2,1,5,1,2,2,2,4,4,4,1,4,4,4,1,2,1,2,3,4,3,1,1,5,3,3,3,2,4,1,5,5,3,1,4,2,4,4,3,2,4,4, ,4,4,5,4,4,4,4,3,3,3,3,2,1,1,1,2,2,2, ,4,4,5,4,4,4,4,3,3,3,3,4,5,5,5,4,4,4, , ,2019-05-09 09:54:24 UTC,2019-05-09 10:02:06 UTC, ,3.333333333,3.875,4.15384615384615,3,2.5,2.38461538461538,4.25,3.75,3.25,4.5
20,475005-474996-46947618,removed_to_protect_anonymity,32,Male,0,Caretaker,GCSE or equivalent,NA,GCSE or equivalent,2,"Average computer user, using the internet, standard applications etc.",3, ,4,3,1,3,1,3,1,1,2,1,2,1,5,5,3,3,4,2,2,4,2,5,2,1,4,4,5,3,2,3,1,1, ,4,1,2,1,3,3,3,1,1,4,4,5,4,5,5,3,2,2,5,5,3,2,5,5,1,4,3,2,5,2,3,4, ,5,1,5,1,1,4,4,1,4,1,5,5,4,1,1,5,3,1,4,1,5,1,4,1,5,5,5,2,3,3,5,4,4,1,2,4,3,3,5,5,3,5, ,5,1,5,1,1,5,5,3,3,5,5,2,3,1,1,5,1,1,5,1,5,1,1,4,5,5,5,5,5,1,5,5,5,1,4,3,4,1,5,5,1,5, ,5,5,5,5,4,3,1,3,5,4,5,4,2,2,3,3,4,3, ,5,5,5,5,4,3,1,3,1,2,1,2,4,4,3,3,2,3, , ,2019-05-09 09:51:06 UTC,2019-05-09 10:02:37 UTC, ,3,3,4.30769230769231,2.4,5,2.53846153846154,5,2.75,1.5,3.166666667
